Date,Open,High,Low,Close,Adj Close,Volume
2018-07-11,6300.000000,6375.000000,6250.000000,6350.000000,6350.000000,35800300
2018-07-12,6300.000000,6450.000000,6300.000000,6450.000000,6450.000000,34741300
2018-07-13,6425.000000,6650.000000,6425.000000,6600.000000,6600.000000,35561800
2018-07-16,6550.000000,6625.000000,6375.000000,6550.000000,6550.000000,28939800
2018-07-17,6450.000000,6475.000000,6300.000000,6325.000000,6325.000000,42430000
2018-07-18,6325.000000,6425.000000,6300.000000,6400.000000,6400.000000,23146500
2018-07-19,6425.000000,6525.000000,6375.000000,6375.000000,6375.000000,34971000
2018-07-20,6425.000000,6450.000000,6275.000000,6350.000000,6350.000000,50997400
2018-07-23,6400.000000,6575.000000,6375.000000,6400.000000,6400.000000,40070100
2018-07-24,6500.000000,6525.000000,6400.000000,6525.000000,6525.000000,19490200
2018-07-25,6550.000000,6550.000000,6450.000000,6475.000000,6475.000000,31074700
2018-07-26,6500.000000,6550.000000,6475.000000,6550.000000,6550.000000,28973900
2018-07-27,6575.000000,6575.000000,6500.000000,6575.000000,6575.000000,17844400
2018-07-30,6575.000000,6725.000000,6550.000000,6725.000000,6725.000000,27304100
2018-07-31,6725.000000,6725.000000,6575.000000,6650.000000,6650.000000,33464700
2018-08-01,6700.000000,7000.000000,6675.000000,7000.000000,7000.000000,55412000
2018-08-02,7000.000000,7175.000000,6925.000000,7050.000000,7050.000000,30696200
2018-08-03,7000.000000,7225.000000,7000.000000,7200.000000,7200.000000,31775200
2018-08-06,7225.000000,7425.000000,7200.000000,7300.000000,7300.000000,51239300
2018-08-07,7300.000000,7425.000000,7200.000000,7200.000000,7200.000000,51483900
2018-08-08,7225.000000,7325.000000,7100.000000,7325.000000,7325.000000,24483700
2018-08-09,7200.000000,7350.000000,7200.000000,7275.000000,7275.000000,14457400
2018-08-10,7325.000000,7425.000000,7300.000000,7350.000000,7350.000000,18133900
2018-08-13,7200.000000,7250.000000,6850.000000,6925.000000,6925.000000,41329200
2018-08-14,6875.000000,6900.000000,6700.000000,6725.000000,6725.000000,61457500
2018-08-15,6750.000000,6825.000000,6525.000000,6800.000000,6800.000000,41021400
2018-08-16,6750.000000,6775.000000,6600.000000,6700.000000,6700.000000,21231800
2018-08-17,6700.000000,6700.000000,6700.000000,6700.000000,6700.000000,0
2018-08-20,6950.000000,6950.000000,6700.000000,6725.000000,6725.000000,40569600
2018-08-21,6750.000000,6775.000000,6675.000000,6700.000000,6700.000000,31199600
2018-08-22,6700.000000,6700.000000,6700.000000,6700.000000,6700.000000,0
2018-08-23,6800.000000,6850.000000,6700.000000,6850.000000,6850.000000,49029900
2018-08-24,6800.000000,6850.000000,6750.000000,6775.000000,6775.000000,37841600
2018-08-27,6825.000000,6975.000000,6775.000000,6975.000000,6975.000000,42251600
2018-08-28,7000.000000,7025.000000,6900.000000,7000.000000,7000.000000,40295600
2018-08-29,6975.000000,7025.000000,6925.000000,7000.000000,7000.000000,27636300
2018-08-30,7000.000000,7025.000000,6800.000000,6850.000000,6850.000000,26376600
2018-08-31,6700.000000,6900.000000,6675.000000,6900.000000,6900.000000,55204100
2018-09-03,6900.000000,6900.000000,6700.000000,6700.000000,6700.000000,27795100
2018-09-04,6725.000000,6750.000000,6450.000000,6575.000000,6575.000000,29901500
2018-09-05,6500.000000,6525.000000,6200.000000,6325.000000,6325.000000,41919300
2018-09-06,6200.000000,6550.000000,6200.000000,6550.000000,6550.000000,48153100
2018-09-07,6500.000000,6650.000000,6450.000000,6625.000000,6625.000000,37762700
2018-09-10,6500.000000,6600.000000,6425.000000,6575.000000,6575.000000,18650900
2018-09-11,6575.000000,6575.000000,6575.000000,6575.000000,6575.000000,0
2018-09-12,6575.000000,6625.000000,6375.000000,6375.000000,6375.000000,23178500
2018-09-13,6475.000000,6625.000000,6450.000000,6575.000000,6575.000000,18334300
2018-09-14,6675.000000,6750.000000,6600.000000,6750.000000,6750.000000,15328000
2018-09-17,6650.000000,6675.000000,6425.000000,6450.000000,6450.000000,44184100
2018-09-18,6450.000000,6525.000000,6325.000000,6375.000000,6375.000000,50586400
2018-09-19,6450.000000,6450.000000,6375.000000,6400.000000,6400.000000,21308200
2018-09-20,6425.000000,6675.000000,6425.000000,6675.000000,6675.000000,49913500
2018-09-21,6750.000000,6950.000000,6725.000000,6850.000000,6850.000000,62420900
2018-09-24,6850.000000,6900.000000,6675.000000,6750.000000,6750.000000,40594100
2018-09-25,6675.000000,6750.000000,6525.000000,6625.000000,6625.000000,23045700
2018-09-26,6575.000000,6725.000000,6575.000000,6600.000000,6600.000000,16008300
