Date,Open,High,Low,Close,Adj Close,Volume
2018-03-20,23275.000000,23300.000000,23000.000000,23275.000000,23023.683594,17936700
2018-03-21,23350.000000,23525.000000,23275.000000,23375.000000,23122.603516,13523500
2018-03-22,23475.000000,23500.000000,23350.000000,23450.000000,23196.794922,12158300
2018-03-23,23000.000000,23800.000000,23000.000000,23800.000000,23543.015625,12595600
2018-03-26,23400.000000,23450.000000,23200.000000,23275.000000,23023.683594,20081400
2018-03-27,23650.000000,23775.000000,23425.000000,23450.000000,23196.794922,13217600
2018-03-28,23450.000000,23450.000000,23150.000000,23325.000000,23073.142578,7242500
2018-03-29,23150.000000,23325.000000,22825.000000,23300.000000,23048.414063,15530100
2018-03-30,23300.000000,23300.000000,23300.000000,23300.000000,23048.414063,0
2018-04-02,23450.000000,23475.000000,23100.000000,23400.000000,23147.333984,7432500
2018-04-03,23375.000000,23500.000000,23325.000000,23400.000000,23147.333984,11252200
2018-04-04,23500.000000,23500.000000,23025.000000,23300.000000,23048.414063,9975400
2018-04-05,23500.000000,23500.000000,23050.000000,23050.000000,22801.113281,4504300
2018-04-06,23125.000000,23125.000000,22600.000000,22725.000000,22479.623047,9588300
2018-04-09,22850.000000,22900.000000,22575.000000,22775.000000,22529.082031,10202600
2018-04-10,22875.000000,23450.000000,22800.000000,23300.000000,23048.414063,15906700
2018-04-11,23500.000000,23650.000000,23300.000000,23325.000000,23073.142578,8378300
2018-04-12,23325.000000,23325.000000,23050.000000,23150.000000,22900.033203,9191400
2018-04-13,23100.000000,23150.000000,22900.000000,22900.000000,22825.279297,14035900
2018-04-16,22900.000000,22900.000000,22900.000000,22900.000000,22825.279297,0
2018-04-17,22900.000000,22900.000000,22900.000000,22900.000000,22825.279297,0
2018-04-18,22825.000000,22975.000000,22725.000000,22975.000000,22900.033203,8743200
2018-04-19,22975.000000,22975.000000,22975.000000,22975.000000,22900.033203,0
2018-04-20,22975.000000,22975.000000,22975.000000,22975.000000,22900.033203,0
2018-04-23,23200.000000,23200.000000,22925.000000,23000.000000,22924.953125,9247200
2018-04-24,23100.000000,23125.000000,22875.000000,22925.000000,22850.197266,14444700
2018-04-25,22925.000000,22925.000000,22925.000000,22925.000000,22850.197266,0
2018-04-26,22925.000000,22925.000000,22925.000000,22925.000000,22850.197266,0
2018-04-27,22925.000000,22925.000000,22925.000000,22925.000000,22850.197266,0
2018-04-30,21500.000000,22400.000000,21450.000000,22100.000000,22027.888672,18082800
2018-05-01,22100.000000,22100.000000,22100.000000,22100.000000,22027.888672,0
2018-05-02,22100.000000,22900.000000,22100.000000,22900.000000,22825.279297,16469200
2018-05-03,22800.000000,22875.000000,22300.000000,22300.000000,22227.236328,27740900
2018-05-04,22300.000000,22325.000000,22000.000000,22025.000000,21953.134766,14826700
2018-05-07,22050.000000,22300.000000,21800.000000,22300.000000,22227.236328,9810900
2018-05-08,22000.000000,22025.000000,21700.000000,22025.000000,21953.134766,14147800
2018-05-09,21525.000000,22900.000000,21525.000000,22900.000000,22825.279297,14418800
2018-05-10,22900.000000,22900.000000,22900.000000,22900.000000,22825.279297,0
2018-05-11,22750.000000,23050.000000,22550.000000,22750.000000,22675.767578,16000100
2018-05-14,22450.000000,22975.000000,22325.000000,22975.000000,22900.033203,11474100
2018-05-15,22675.000000,22700.000000,22000.000000,22200.000000,22127.562500,26116600
2018-05-16,21900.000000,22400.000000,21900.000000,22375.000000,22301.992188,17437000
2018-05-17,22200.000000,22275.000000,22000.000000,22000.000000,21928.214844,16806100
2018-05-18,22000.000000,22025.000000,21700.000000,21700.000000,21629.193359,17736200
2018-05-21,21550.000000,21725.000000,21475.000000,21650.000000,21579.357422,16447400
2018-05-22,21950.000000,22100.000000,21700.000000,22000.000000,21928.214844,12552200
2018-05-23,22100.000000,22350.000000,22000.000000,22000.000000,21928.214844,15903100
2018-05-24,22300.000000,22625.000000,22275.000000,22450.000000,22376.746094,15539400
